Intreeo;Vivid;2010;2011;6 in;No;eInk;;170 g (5.9 oz);600 × 800;No;No;No;Unknown;2 GB (1.3 GB);SD;Unknown;No;Unknown;
iRex Technologies;Digital Reader 800;2010;2010;8.1 in;No;eInk;;360 g (13 oz);768 × 1024;Yes;No;Unknown;Yes;128 MB;SDHC;No;Yes;Unknown;
iRex Technologies;Digital Reader 1000;2008;2010;10.2 in;No;eInk;;700 g (25 oz);1024 × 1280;Stylus;No;No;Yes;No;SD;No;Yes;Yes;
iRex Technologies;iLiad;2006;2010;8.1 in;No;eInk;;480 g (17 oz);768 × 1024;Yes;Wi-Fi;No;Yes;64 MB;SD, CF;No;Yes;Unknown;
Iriver;Story;2009;2011;6 in;No;eInk;;233 g (8.2 oz);600 × 800;Yes;No;Unknown;Unknown;2 GB;SDHC;Unknown;Yes;Unknown;
JinKe;Hanlin V3;2007;2008;6 in;No;eInk;ED060SC4(LF);Unknown;600 × 800;No;No;No;Yes;384 MB;SDHC;No;Yes;No;
JinKe;Hanlin V2;2006;2007;6 in;No;eInk;;Unknown;600 × 800;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;
JinKe;Hanlin V60;2010;?;6 in;No;eInk;LB060S02-RD01 ED060SC7(LF);260 g (8.6 oz);600 × 800;No;Wi-Fi;No;Yes;2G;SDHC;No;Unknown;Yes;
Kobo Inc.;Kobo Glo;2012;2015;6 in;Yes;eInk Pearl;;185 g (6.5 oz);758 × 1024;Yes;Wi-Fi;No;shelves;2 GB;Yes;Yes;Yes;Yes;
Kobo Inc.;Kobo Mini;2012;2014;5 in;No;eInk Vizplex;;134 g (4.7 oz);600 × 800;Yes;Wi-Fi;No;shelves;2 GB;No;Yes;Yes;Yes;
Kobo Inc.;Kobo Touch;2011;2013;6 in;No;eInk Pearl;;200 g (7.1 oz);600 × 800;Yes;Wi-Fi;No;shelves;2 GB;Yes;Yes;Yes;Yes;
Kobo Inc.;Kobo eReader Wireless;2010;2011;6 in;No;eInk;;221 g (7.8 oz);600 × 800;No;Wi-Fi;No;Unknown;1 GB;SD 4 GB;No;Yes;Unknown;
Kobo Inc.;Kobo eReader;2010;2011;6 in;No;eInk;;221 g (7.8 oz);600 × 800;No;Bluetooth;No;Unknown;1 GB;SD;Yes;Yes;Unknown;
Kogan.com;Kogan eBook Reader;2010;?;6 in;No;eInk;;228 g (8.0 oz);600 × 800;No;No;No;Yes;2 GB;SDHC;No;Unknown;Unknown;
Kyobo Inc.;Kyobo E-reader Mirasol;2011;2012;5.7 in;No;Mirasol;;294 g (10.4 oz);768 × 1024;Yes;Wi-Fi;Yes;Unknown;Unknown GB;SDHC;Yes;Unknown;Yes;
Onyx Inc.;BOOX A60/62;2009;2012;6 in;No;eink;;298g;600 x 800;Yes;Wi-Fi;Yes;Yes;512 MB;SDHC;Yes;No;Yes;
Onyx Inc.;BOOX X60/60S;2010;2011;6 in;No;eInk;;298 g (10.5 oz);600 × 800;Yes;Wi-Fi;Yes;Yes;512 MB;SDHC;Yes;No;Yes;
Onyx Inc.;BOOX M90/M90S;2010;2011;9.7 in;No;eInk Pearl;;275 g (9.7 oz);600 × 800;Yes;Wi-Fi;Yes;Yes;2 GB;SDHC;Yes;No;Yes;
Onyx Inc.;BOOX i62 Touch Espresso;2011;2013;6 in;No;eInk Pearl;;238 g (8.4 oz);600x800;Yes (IR);Wi-Fi;Yes;Yes;4 GB;Yes;Yes;No;Yes;
Onyx Inc.;BOOX i62ML HD Angel Glow;2012;2013;6 in;Yes;eInk;;238 g (8.4 oz);758 × 1024;Yes (IR);Wi-Fi;Yes;Yes;4 GB;Yes;Yes;No;Yes;
PocketBook;PocketBook Pro 603;2010;?;6 in;No;eInk;;280 g (9.9 oz);600 × 800;Stylus;Wi-Fi, Bluetooth, UMTS + GPRS;Yes;Yes;2 GB;Yes;Yes;Yes;Unknown;
PocketBook;PocketBook Pro 602;2010;?;6 in;No;eInk;;250 g (8.8 oz);600 × 800;No;Wi-Fi, Bluetooth;Yes;Yes;2 GB;Yes;Yes;Yes;Unknown;
PocketBook;PocketBook Pro 903;2010;2011;9.7 in;No;eInk;;581 g (20.5 oz);825 × 1200;Stylus;Wi-Fi, Bluetooth, UMTS + GPRS;Yes;Yes;2 GB;Yes;Yes;Yes;Unknown;
PocketBook;PocketBook Pro 902;2010;2011;9.7 in;No;eInk;;530 g (19 oz);825 × 1200;No;Wi-Fi, Bluetooth;Yes;Yes;2 GB;Yes;Yes;Yes;Unknown;
Samsung;Papyrus;2009;2010;5 in;No;eInk;;184 g (6.5 oz);600 × 800;Yes;No;Yes;Unknown;512M;No;Unknown;Yes;Unknown;
Samsung;E6;2010;2011;6 in;No;eInk;;315 g (11.1 oz);600 × 800;Stylus;Wi-Fi, Bluetooth;Yes;Yes;2 GB (1.4 GB);micro SD;limited;Yes;Unknown;
Sony;DPT-S1[8];2014;2016;13.3 in (letter=13.9 in, A4=14.3 in);No;eInk Mobius;;357g (12.6 oz);1200 x 1600;Yes;Wi-Fi b/g/n;No;Yes;4 GB;Yes;Yes;PDF only;Yes;
Sony;Sony Reader Pocket Edition PRS-300SC;2011;2012;5 in;No;eInk Vizplex;;220 g (7.8 oz);600 × 800;No;No;No;Unknown;512 MB (350 MB);No;No;Yes;Unknown;
Sony;Sony Reader Pocket Edition PRS-350;2010;2011;5 in;No;eInk Pearl;;155 g (5.5 oz);600 × 800;Yes;No;No;collections;2 GB (1.4 GB);No;No;Yes;Unknown;
Sony;Sony Reader Touch Edition PRS-650;2010;2011;6 in;No;eInk;;215 g (7.6 oz);600 × 800;Yes;No;No;collections;2 GB (1.4 GB);SDHC, MSPro DUO;No;Yes;Unknown;
Sony;Sony Reader Daily Edition PRS-900;2009;2011;7.1 in;No;eInk;;283 g (10.0 oz);600 × 1024;Yes;No;No;Unknown;2 GB;SDHC, MSPro DUO;Unknown;Yes;Unknown;
Sony;Sony Reader Touch Edition PRS-600;2009;2010;6 in;No;eInk;;286 g (10.1 oz);600 × 800;Yes;No;No;Unknown;512 MB (380 MB);SDHC, MSPro Duo;No;Yes;Unknown;
Sony;Sony Reader Pocket Edition PRS-300;2009;2010;5 in;No;eInk;;220 g (7.8 oz);600 × 800;No;No;No;Unknown;512 MB (480 MB);No;No;Yes;Unknown;
Sony;Sony Reader PRS-700;2008;2009;6 in;Yes;eInk;;283 g (10.0 oz);600 × 800;Yes;No;Unknown;Unknown;512 MB;SDHC;Unknown;Yes;Unknown;
Sony;Reader PRS-505;2008;2009;6 in;No;eInk;;250 g (8.8 oz);600 × 800;No;No;No;Unknown;256 MB, (192 MB);SD, MS;No;Yes;Unknown;
Sony;Sony Reader PRS-500;2006;2008;6 in;No;eInk;;250 g (8.8 oz);600 × 800;No;No;No;No;92 MB;SD;No;Yes;Unknown;
Sony;Reader PRS-T1;2011;2012;6 in;No;eInk Pearl;;168 g (5.9 oz);600 × 800;Yes (IR);Wi-Fi;No;Collections;2 GB (1.3 GB);Yes;Yes;Yes;Unknown;
Sony;Reader PRS-T2;2012;2013;6 in;No;eInk Pearl;;167 g (5.9 oz);600 × 800;2-Point;Wi-Fi;No;Collections;2 GB (1.3 GB);Yes;Yes;Yes;Unknown;
Sony;Reader PRS-T3;2013;2014;6 in;No;eInk Pearl;;198 g (6.9 oz);758 x 1024;2-Point;Wi-Fi;No;Collections;2 GB (1.3 GB);Yes;Yes;Yes;Unknown;
TrekStor;Pyrus maxi[9];2013;2014;8 in;No;Digital Ink;;309 g (10.9 oz);768 × 1024;No;No;No;Yes;4 GB;Yes;No;Yes;Unknown;
Wexler;Flex ONE[10];2012;2013;6 in;No;LG flex;;110 g (3.9 oz);768 x 1024;No;No;No;Yes;8 GB;No;No;No;Unknown;
Wexler;WEXLER.BOOK E6003;2012;?;6 in;No;eink;ED060SC7(LF);175 g (5.7 oz);600 x 800;No;No;No;Yes;4 GB;Yes;No;No;Unknown;
Maker;Model;Intro year;End year;Screen size (inch);Self-lit;Screen type;Screen model;Weight;Screen pixels;Touch screen;Wireless network;Text-to-speech;Folders;Internal Storage;Micro SDHC;Web browser;Library DRM compatible;USB peripherals;
